1	1	1	1	5.36536846
1	1	2	1	-0.531040922
1	1	2	2	1.255216884
1	1	3	3	1.264034186
1	1	4	4	1.264034186
1	1	5	1	0.042732068
1	1	5	2	-0.063267208
1	1	5	4	1.07E-15
1	1	5	5	0.80324137
1	1	6	1	0.047181868
1	1	6	2	-0.070092794
1	1	6	5	-0.478779569
1	1	6	6	0.775267339
2	1	1	1	-0.531040922
2	1	2	1	0.08278639
2	1	2	2	-0.024121752
2	1	3	3	-0.01547109
2	1	4	4	-0.01547109
2	1	5	1	-0.00666315
2	1	5	2	0.002033036
2	1	5	5	-0.007814612
2	1	6	1	-0.007401948
2	1	6	2	0.002063531
2	1	6	5	0.007620976
2	1	6	6	-0.008139709
2	2	1	1	1.255216884
2	2	2	1	-0.024121752
2	2	2	2	0.891982205
2	2	3	3	0.906587104
2	2	4	4	0.906587104
2	2	5	1	0.002167506
2	2	5	2	-0.033501921
2	2	5	5	0.623949528
2	2	6	1	0.002085291
2	2	6	2	-0.039469968
2	2	6	5	-0.300292323
2	2	6	6	0.591930266
3	1	3	1	0.029504761
3	1	3	2	0.040639905
3	1	5	3	-0.002988334
3	1	6	3	-0.003176118
3	2	3	1	0.040639905
3	2	3	2	0.193966306
3	2	5	3	-0.012573898
3	2	6	3	-0.013317385
3	3	1	1	1.264034186
3	3	2	1	-0.01547109
3	3	2	2	0.906587104
3	3	3	3	0.997513626
3	3	4	4	0.889972886
3	3	5	1	0.001266547
3	3	5	2	-0.036743754
3	3	5	5	0.610683817
3	3	6	1	0.00145303
3	3	6	2	-0.040667041
3	3	6	5	-0.295848304
3	3	6	6	0.580421182
4	1	4	1	0.029504761
4	1	4	2	0.040639905
4	1	5	4	-0.002988334
4	1	6	4	-0.003176118
4	2	4	1	0.040639905
4	2	4	2	0.193966306
4	2	5	4	-0.012573898
4	2	6	4	-0.013317385
4	3	4	3	0.05377037
4	4	1	1	1.264034186
4	4	2	1	-0.01547109
4	4	2	2	0.906587104
4	4	3	3	0.889972886
4	4	4	4	0.997513626
4	4	5	1	0.001266547
4	4	5	2	-0.036743754
4	4	5	5	0.610683817
4	4	6	1	0.00145303
4	4	6	2	-0.040667041
4	4	6	5	-0.295848304
4	4	6	6	0.580421182
5	1	1	1	0.042732068
5	1	2	1	-0.00666315
5	1	2	2	0.002167506
5	1	3	3	0.001266547
5	1	4	4	0.001266547
5	1	5	1	0.015045313
5	1	5	2	0.02055842
5	1	5	5	-0.000350392
5	1	6	1	-0.014279576
5	1	6	2	-0.020008999
5	1	6	5	0.000921024
5	1	6	6	0.005039736
5	2	1	1	-0.063267208
5	2	2	1	0.002033036
5	2	2	2	-0.033501921
5	2	3	3	-0.036743754
5	2	4	4	-0.036743754
5	2	5	1	0.02055842
5	2	5	2	0.110391867
5	2	5	5	-0.000351366
5	2	6	1	-0.021251259
5	2	6	2	-0.093229261
5	2	6	5	0.045972092
5	2	6	6	0.023645482
5	3	3	1	-0.002988334
5	3	3	2	-0.012573898
5	3	5	3	0.029067997
5	3	6	3	-0.025972126
5	4	1	1	1.07E-15
5	4	4	1	-0.002988334
5	4	4	2	-0.012573898
5	4	5	4	0.029067997
5	4	6	4	-0.025972126
5	5	1	1	0.80324137
5	5	2	1	-0.007814612
5	5	2	2	0.623949528
5	5	3	3	0.610683817
5	5	4	4	0.610683817
5	5	5	1	-0.000350392
5	5	5	2	-0.000351366
5	5	5	5	0.601331463
5	5	6	1	0.001633335
5	5	6	2	-0.015350216
5	5	6	5	-0.076575513
5	5	6	6	0.599177672
6	1	1	1	0.047181868
6	1	2	1	-0.007401948
6	1	2	2	0.002085291
6	1	3	3	0.00145303
6	1	4	4	0.00145303
6	1	5	1	-0.014279576
6	1	5	2	-0.021251259
6	1	5	5	0.001633335
6	1	6	1	0.015914701
6	1	6	2	0.019970337
6	1	6	5	-0.002549943
6	1	6	6	-0.003912635
6	2	1	1	-0.070092794
6	2	2	1	0.002063531
6	2	2	2	-0.039469968
6	2	3	3	-0.040667041
6	2	4	4	-0.040667041
6	2	5	1	-0.020008999
6	2	5	2	-0.093229261
6	2	5	5	-0.015350216
6	2	6	1	0.019970337
6	2	6	2	0.092020355
6	2	6	5	0.014276158
6	2	6	6	-0.032379529
6	3	3	1	-0.003176118
6	3	3	2	-0.013317385
6	3	5	3	-0.025972126
6	3	6	3	0.02686074
6	4	4	1	-0.003176118
6	4	4	2	-0.013317385
6	4	5	4	-0.025972126
6	4	6	4	0.02686074
6	5	1	1	-0.478779569
6	5	2	1	0.007620976
6	5	2	2	-0.300292323
6	5	3	3	-0.295848304
6	5	4	4	-0.295848304
6	5	5	1	0.000921024
6	5	5	2	0.045972092
6	5	5	5	-0.076575513
6	5	6	1	-0.002549943
6	5	6	2	0.014276158
6	5	6	5	0.285906727
6	5	6	6	-0.035060058
6	6	1	1	0.775267339
6	6	2	1	-0.008139709
6	6	2	2	0.591930266
6	6	3	3	0.580421182
6	6	4	4	0.580421182
6	6	5	1	0.005039736
6	6	5	2	0.023645482
6	6	5	5	0.599177672
6	6	6	1	-0.003912635
6	6	6	2	-0.032379529
6	6	6	5	-0.035060058
6	6	6	6	0.612627916
